Method,Time(s),Steps,Error,Accuracy(%)
RK3,0.000036,201,1.136854e-08,99.999992
DDRK3,0.001118,201,3.146765e-08,99.999977
AM,0.000059,201,1.156447e-08,99.999991
DDAM,0.001499,201,7.795923e-03,94.239548
